Nº NF;OC Vinculada;Status OC;Status Sistema;Chave de Acesso
96633;000005030;fechada;processada;35260452243680000178550010000966331812358146
871639;000034995;não encontrada;pendente;26260407264693000179550010008716391294071626
266345;000004943;fechada;processada;26260402683153000378550010002663451354553479
53943;049036591;não encontrada;pendente;26260405012582000140550010000539431168386250
49249;—;sem OC;pendente;35260473012411000170550010000492491796338923
49244;—;sem OC;pendente;35260473012411000170550010000492441424759963
37928;000076942;não encontrada;pendente;26260444471407000253550010000379281674543829
17915;000004757;fechada;processada;26260310992603000170550010000179151136187755
115400;004891926;não encontrada;pendente;26260306913480000834550020001154001709614186
3314;000004989;fechada;processada;35260342798240000123550010000033141000037315
230695;000005010;fechada;processada;42260302263430000393550020002306951080837222
17904;000005012;fechada;processada;26260310992603000170550010000179041136471310
99285;001624300;não encontrada;pendente;33260313891342000190550010000992851504582000
99281;001624300;não encontrada;pendente;33260313891342000190550010000992811504579000
752;000001564;fechada;processada;31260335087707000161550010000007521813853301
34974;000004999;fechada;processada;31260323827868000165550550000349741491573200
532662;—;sem OC;pendente;26260346044053002582550010005326621375821517
224;000000344;fechada;processada;33260308101451000127550010000002241570161379
115218;004877949;não encontrada;pendente;26260306913480000834550020001152181112451325
21628;000047370;não encontrada;pendente;33260303496485000144550010000216281000327125
21627;000047375;não encontrada;pendente;33260303496485000144550010000216271000327110
21629;000047418;não encontrada;pendente;33260303496485000144550010000216291000327130
277733;000001627;fechada;processada;33260342270058000103550010002777331705513888
168388;000001688;fechada;processada;33260331383201000149550010001683881010016836
28701;—;sem OC;pendente;26260342924799000152550010000287011689952908
49095;—;sem OC;pendente;35260373012411000170550010000490951774140444
78035;000001542;parcial;pendente;35260344151413000142550010000780351147341895
78034;000001539;fechada;processada;35260344151413000142550010000780341332593687
107430;000001597;parcial;pendente;35260350892934000153550010001074301315481645
750;000001417;fechada;processada;31260335087707000161550010000007501292948755
130800;—;sem OC;pendente;35260367439513000174550100001308001003296714
25887;000001675;parcial;pendente;33260324204991000192550010000258871842229074
44848;000001661;fechada;processada;35260310378969000405550010000448481888787760
280635;000004991;fechada;processada;26260324073694000155550020002806351000706721
19243;000004843;fechada;processada;35260374242785000145550010000192431026329715
532038;—;sem OC;pendente;26260346044053002582550010005320381586531189
1397472;—;sem OC;pendente;26260335512722000100550010013974721024664419
98987;001624500;não encontrada;pendente;33260313891342000190550010000989871502916007
98986;001624400;não encontrada;pendente;33260313891342000190550010000989861502915003
98984;001624500;não encontrada;pendente;33260313891342000190550010000989841502886009
98983;001624500;não encontrada;pendente;33260313891342000190550010000989831502885005
98961;001624600;não encontrada;pendente;33260313891342000190550010000989611502698003
98959;001624600;não encontrada;pendente;33260313891342000190550010000989591502685000
98954;001624600;não encontrada;pendente;33260313891342000190550010000989541502668002
265921;000004988;fechada;processada;26260302683153000378550010002659211387144902
48761;000001759;fechada;processada;33260325464260000491550010000487611180487615
2409;000001538;fechada;processada;33260340897398000125550010000024091630531310
712131;000001644;fechada;processada;33260357158057000645550010007121311825440583
41314;000001677;fechada;processada;32260310619499000335550010000413141583522990
297287;000001703;fechada;processada;35260361479002000108550010002972871451534241
297286;000001601;fechada;processada;35260361479002000108550010002972861777497210
25761;000001751;fechada;processada;33260324204991000192550010000257611609283485
25764;000001725;fechada;processada;33260324204991000192550010000257641878537984
7567;000001760;fechada;processada;42260334081475000171550010000075671253511068
868194;000031276;não encontrada;pendente;26260307264693000179550010008681941865576871
531606;000004979;parcial;pendente;26260346044053002582550010005316061796139212
177366;000001696;fechada;processada;35260309353055000150550000001773661002866871
45635;000001628;fechada;processada;32260357158057000998550010000456351921755444
1514710;000004972;fechada;processada;32260346044053004607550010015147101105695121
46660;000004974;fechada;processada;26260360621141000587550010000466601104808457
1440;000004975;fechada;processada;41260363564305000146550010000014407003807759
128816;000001435;fechada;processada;35260372797913000191550010001288161238313940
1047412;—;sem OC;pendente;31260317281973001382550010010474121294779938
25658;000001675;parcial;pendente;33260324204991000192550010000256581173783027
25659;000001606;fechada;processada;33260324204991000192550010000256591201952000
557004;000004672;fechada;processada;35260361150751009135550010005570041023225021
27287;—;sem OC;pendente;31260300568041000189550000000272871220067083
98710;001624400;não encontrada;pendente;33260313891342000190550010000987101501054005
117325;000001342;parcial;pendente;33260307358761028411550010001173251147553301
745;000001490;fechada;processada;31260335087707000161550010000007451303886548
98691;001624400;não encontrada;pendente;33260313891342000190550010000986911500917002
98690;001624400;não encontrada;pendente;33260313891342000190550010000986901500918001
1046246;—;sem OC;pendente;31260317281973001382550010010462461712247980
98678;001624400;não encontrada;pendente;33260313891342000190550010000986781500801002
37795;000076668;não encontrada;pendente;26260344471407000253550010000377951161507364
112414;000001434;fechada;processada;35260310533881000160550000001124141362048059
3449;000001546;fechada;processada;33260336380430000123550010000034491000336386
48538;000001722;fechada;processada;33260325464260000491550010000485381180485389
3450;000001583;fechada;processada;33260336380430000123550010000034501000336395
265652;000004943;fechada;processada;26260302683153000378550010002656521889029395
277340;000004936;fechada;processada;26260301612046000124550010002773401138125941
19162;000004843;fechada;processada;35260374242785000145550010000191621857696773
25589;000004942;fechada;processada;26260319403406000143550080000255891730932572
48438;000001643;fechada;processada;33260325464260000491550010000484381180484387
530512;000004948;parcial;pendente;26260346044053002582550010005305121830381316
34838;000004754;fechada;processada;31260323827868000165550550000348381605406135
297051;000001601;fechada;processada;35260361479002000108550010002970511891348701
176704;000001566;fechada;processada;35260309353055000150550000001767041002859225
954;000001600;fechada;processada;41260329252689000123550010000009541002776494
21517;000047254;não encontrada;pendente;33260303496485000144550010000215171000325972
128687;000001407;fechada;processada;35260372797913000191550010001286871671573423
14555;000004918;fechada;processada;32260326727928000247550010000145551001451493
265633;000004943;fechada;processada;26260302683153000378550010002656331920539137
866112;000029172;não encontrada;pendente;26260307264693000179550010008661121841834086
30914;000020410;não encontrada;pendente;31260327510292000169550010000309141639154256
117239;000001342;parcial;pendente;33260307358761028411550010001172391326339681
128672;000001411;fechada;processada;35260372797913000191550010001286721600592660
199;000000287;fechada;processada;33260308101451000127550010000001991720053350
48353;000001643;fechada;processada;33260325464260000491550010000483531180483535
48354;000001655;fechada;processada;33260325464260000491550010000483541180483540
25442;000001606;fechada;processada;33260324204991000192550010000254421890726500
25441;000001606;fechada;processada;33260324204991000192550010000254411286768513
3418;000001334;parcial;pendente;33260336380430000123550010000034181000334727
865829;000028929;não encontrada;pendente;26260307264693000179550010008658291426695430
46412;000004933;fechada;processada;26260360621141000587550010000464121942685274
530154;000004934;fechada;processada;26260346044053002582550010005301541330705170
7968;000000798;fechada;processada;35260309654647000101550010000079681848875028
72210;000001595;cancelada;pendente;32260333054412000597550010000722101057630606
181062;000001504;fechada;processada;31260366220047000179550000001810621001350666
24003;000001534;fechada;processada;33260334073353000133550010000240031544061994
3416;000001468;fechada;processada;33260336380430000123550010000034161000334617
3415;000001546;fechada;processada;33260336380430000123550010000034151000334598
3413;000001569;fechada;processada;33260336380430000123550010000034131000334569
514115;005341160;não encontrada;pendente;26260370224936000181550010005141151005141165
46375;000004926;fechada;processada;26260360621141000587550010000463751598953557
15811;000052110;não encontrada;pendente;33260303182704000200550010000158111316692075
136305;000004875;fechada;processada;35260301477885000187550010001363051525332343
129;000004693;fechada;processada;42260329830760000108550010000001291009103201
40986;000001580;fechada;processada;32260210619499000335550010000409861007616712
3409;000001570;fechada;processada;33260236380430000123550010000034091000333540
768;000001508;fechada;processada;35260231535973000159550010000007681251839457
111990;000001434;fechada;processada;35260210533881000160550000001119901662778185
9890;000004903;fechada;processada;35260200498727000140550010000098901020261690
23109;—;sem OC;pendente;26260209316105000986550020000231091220469867
223752;1103014168;não encontrada;pendente;26260212599809000160550010002237521247119570
301415;000264350;não encontrada;pendente;26260213596165000110550010003014151664864140
1041298;—;sem OC;pendente;31260217281973001382550010010412981195421140
77760;000001460;parcial;pendente;35260244151413000142550010000777601144556478
77761;000001213;fechada;processada;35260244151413000142550010000777611109669943
111988;000001434;fechada;processada;35260210533881000160550000001119881411122230
165765;000001426;fechada;processada;33260231383201000149550010001657651010016577
77744;000001236;parcial;pendente;35260244151413000142550010000777441473458553
77745;000001236;parcial;pendente;35260244151413000142550010000777451197551032
42560;000001474;fechada;processada;35260223440235000108550010000425601198989765
77746;000001238;fechada;processada;35260244151413000142550010000777461517532103
111656;000001433;fechada;processada;35260213705784000103550010001116561402142024
117131;—;sem OC;pendente;33260207358761028411550010001171311003044321
117128;—;sem OC;pendente;33260207358761028411550010001171281891967051
117129;—;sem OC;pendente;33260207358761028411550010001171291863246903
1455527;000001380;fechada;processada;42260292664028002519550010014555271014074427
555723;000004724;fechada;processada;35260261150751009135550010005557231060215353
356701;—;sem OC;pendente;26260205266210000573550010003567011244163230
7097;000004897;aberta;pendente;41260211260642000146550010000070971001051989
1635;000004787;fechada;processada;26260249165987000193550010000016351300724630
105417;000004771;fechada;processada;35260252462215000128550010001054171515857338
140553;000001323;fechada;processada;33260207358761026206550010001405531040243598
140552;000001358;fechada;processada;33260207358761026206550010001405521408312130
543;000001461;fechada;processada;35260251448375000150550010000005431000012173
216064;000001379;fechada;processada;35260255474522000117550010002160641465240819
539;000001461;fechada;processada;35260251448375000150550010000005391000005689
16312;—;sem OC;pendente;33260200639844000420550010000163121614380013
16311;—;sem OC;pendente;33260200639844000420550010000163111475095407
25266;000001462;fechada;processada;33260224204991000192550010000252661002827930
25264;000001331;fechada;processada;33260224204991000192550010000252641127927331
25265;000001507;cancelada;pendente;33260224204991000192550010000252651890181660
13683;000004914;fechada;processada;26260206141500000120550050000136831120519830
